Ticker,Nome,Negócios,Última (R$),Variação
CRPG5,Tronox Pigmentos,3.7,"18,39","+2,22%"
BALM4,Baumer,3.7,"17,70","-2,64%"
CEBR5,CEB,3.5,"26,27","+1,47%"
EQPA5,Equatorial Energia Pará,3.4,"17,00","+70,17%"
TRAD3,Traders Club,3.4,"4,07","+0,74%"
CTSA4,Santanense,2.6,"2,02","-2,42%"
BAZA3,Banco da Amazônia,2.3,"77,80","+0,01%"
CGRA3,Grazziotin,2.1,"28,00","-1,16%"
AVLL3,Alphaville,2.1,"0,96","+4,35%"
CLSC4,Celesc,2,"124,95","-0,44%"
ENGI3,Energisa,2,"12,25","-0,81%"
WEST3,Westwing,2,"5,58","+0,54%"
ISAE3,ISA Energia,1.9,"34,00","+0,00%"
BSLI3,Banco de Brasília,1.8,"6,71","-2,04%"
CEBR3,CEB,1.6,"27,02","+0,86%"
SNSY5,Sansuy,1.6,"2,75","-9,54%"
GEPA4,Rio Paranapanema Energia,1.5,"33,00","+3,12%"
NUTR3,Nutriplant,1.3,"2,61","-0,76%"
MTSA4,Metisa,1.2,"48,82","-0,87%"
BOBR4,Bombril,1.2,"1,30","+5,69%"
BSLI4,Banco de Brasília,1.1,"7,19","+1,13%"
CBEE3,Ampla Energia,1,"10,01","+0,10%"
PPLA11,PPLA,978,"0,79","+12,86%"
REDE3,Rede Energia,900,"6,20","-0,80%"
HAGA4,Haga,900,"1,11","+1,83%"
CTKA4,Karsten,800,"38,11","-1,09%"
OFSA3,Ourofino Saúde Animal,800,"22,60","-1,74%"
BMEB3,Banco Mercantil do Brasil,700,"62,00","-8,61%"
CGAS5,Comgás,600,"130,29","+0,20%"
EKTR4,Elektro,600,"38,47","+0,47%"
MGEL4,Mangels,600,"5,95","-0,83%"
HAGA3,Haga,600,"1,72","+0,00%"
PEAB3,Participações Aliança da Bahia,500,"39,00","+3,83%"
TELB3,Telebras,500,"11,00","+0,92%"
SNSY3,Sansuy,500,"11,00","+0,00%"
GSHP3,General Shopping & Outlets,500,"4,00","+0,00%"
EQMA3B,Equatorial Maranhão,400,"30,01","-5,33%"
WLMM4,WLM,400,"20,14","+0,70%"
MOAR3,Monteiro Aranha,300,"63,79","+6,67%"
CEEB3,COELBA,300,"45,06","-0,02%"
PATI3,Panatlântica,300,"29,40","+0,65%"
EUCA3,Eucatex,300,"20,74","-2,17%"
CALI3,Adolpho Lindenberg,300,"16,05","+0,00%"
FESA3,Ferbasa,300,"11,40","+1,97%"
OSXB3,OSX Brasil,300,"2,09","+5,56%"
BAUH4,Excelsior,200,"93,30","-0,16%"
BGIP4,Banese,200,"34,79","-0,34%"
BALM3,Baumer,200,"28,00","+0,00%"
CRPG6,Tronox Pigmentos,200,"18,10","-4,69%"
FIEI3,Fica,200,"12,53","-13,53%"
NEXP3,Brasil Brokers,200,"2,89","-3,34%"
RSID3,Rossi Residencial,200,"1,66","-1,78%"
CLSC3,Celesc,100,"115,79","+0,00%"
UNIP5,Unipar,100,"62,00","+0,00%"
BMIN4,Banco Mercantil de Investimentos,100,"18,47","+0,33%"
CRPG3,Tronox Pigmentos,100,"17,01","+0,00%"
MNDL3,Mundial,100,"16,00","+0,00%"
BRSR5,Banrisul,100,"15,10","+5,59%"
EALT3,Electro Aço Altona,100,"14,40","-0,69%"
MERC4,Mercantil do Brasil Financeira,100,"12,50","+0,00%"
CCTY3,REDVECO PROPERTIES S.A,100,"12,00","-7,69%"
CCTY3,RDVC CITY,100,"12,00","-7,69%"
