Raz„o Social;Fundo;CÛdigo
CYRELA CR…DITO - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII CYRELA;CYCR
CYRELA DESENVOLVIMENTO LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII CYLD;CYLD
DAMA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII DAMA;DAMA
DIAMANTE FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII DIAMANTE;DAMT
DAYCOVAL REAL ESTATE MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII DAYC REM;DAYM
DEVANT RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII DEVANT;DEVA
DEL MONTE AJAX FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII DE RESPONSABILIDADE LIMITADA;FII DEL MONT;DLMT
DOVEL FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII DOVEL;DOVL
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII DEVA PRO;DPRO
RB DESENVOLVIMENTO RESIDENCIAL V FUNDO DE INVESTIMENTO IMOBILI¡RIO -RESPONSABILIDADE LIMITADA;FII DRIM;DRIM
FUNDO DE INVESTIMENTO IMOBILI¡RIO - DEVANT FUNDO DE FUNDOS IMOBILI¡RIOS DE RESPONSABILIDADE LIMITADA;FII DEVA FOF;DVFF
SPECIALE REAL ESTATE DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII DVLP;DVLP
SPECIALE REAL ESTATE DEVELOPMENT II FUNDO DE INVESTIMENTO  IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII DVLT;DVLT
NEST EAGLE FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII EAGL;EAGL
FUNDO DE INVESTIMENTO IMOBILI¡RIO EDIFÕCIO OURINVEST - RESPONSABILIDADE LIMITADA;FII OURINVES;EDFO
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII EDIFÕCIO GALERIA RESPONSABILIADADE LIMITADA;FII GALERIA;EDGA
EDGE FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII EDGE;EDGE
FII DE DESENVOLVIMENTO DE ESCRIT”RIOS BOUTIQUE RESPONSABILIDADE LIMITADA;FII EGDB;EGDB
ENERGY RESORT FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII ENERGY;EGYR
AROEIRA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII EIRA;EIRA
FII ELDORADO FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII ELDORADO;ELDO
EMET MULTIESTRAT…GIA FUNDO DE INVESTIMENTO I MOBILI¡RIO RESPONSABILIDADE LIMITADA;FII EMET;EMET
EQI RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII EQI RECE;EQIR
ESTOQUE RESIDENCIAL E COMERCIAL RIO DE JANEIRO FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESP LIMITADA;FII ESTOQ RJ;ERCR
EUROPA 105  FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII EUROPA;ERPA
FUNDO DE INVESTIMENTO IMOBILIARIO POLO ESTOQUE II RESPONSABILIDADE LIMITADA;FII POLO II;ESTQ
FII EUROPAR RESPONSABILIDADE LIMITADA;FII EUROPAR;EURO
EXES FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII EXES;EXES
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII ANHANGUERA EDUCACIONAL RESPONSABILIDADE LIMITADA;FII ANH EDUC;FAED
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII EDIFÕCIO ALMIRANTE BARROSO RESPONSABILIDADE LIMITADA;FII ALMIRANT;FAMB
BRC RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII ATHENA I;FATN
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII CAMPUS FARIA LIMA RESPONSABILIDADE LIMITADA;FII CAMPUSFL;FCFL
GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII GEN SHOP;FIGS
FII INDUSTRIAL DO BRASIL RESPONSABILIDADE LIMITADA;FII INDL BR;FIIB
FUNDO DE INVESTIMENTOS IMOBILI¡RIO DO CAMPREV PARA SUSTENTABILIDADE PREVIDENCI¡RIA DO MUNICÕPIO;FII FIIC;FIIC
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIARIO - FII - RESPONSABILIDADE LIMITADA;FII RB CAP I;FIIP
FUNDO DE INVESTIMENTO IMOBILI¡RIO INFRA REAL ESTATE - FII RESPONSABILIDADE LIMITADA;FII INFRA RE;FINF
FUNDO DE INVESTIMENTO IMOBILI¡RIO SC 401 - RESPONSABILIDADE LIMITADA;FII SC 401;FISC
S√O DOMINGOS - FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII;FII DOMINGOS;FISD
FUNDO DE INVESTIMENTO IMOBILI¡RIO VIDA NOVA - FII - RESPONSABILIDADE LIMITADA;FII VIDANOVA;FIVN
FARIA LIMA CAPITAL RECEBÕVEIS IMOBILI¡RIOS I - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LI;FII FL RECEB;FLCR
FII CONTINENTAL SQUARE FARIA LIMA - RESPONSABILIDADE LIMITADA;FII S F LIMA;FLMA
FLORIANO FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII FLNR;FLNR
HEDGE FLORIPA SHOPPING FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII FLORIPA;FLRP
FII MEMORIAL OFFICE RESPONSABILIDADE LIMITADA;FII MEMORIAL;FMOF
PROJETO ¡GUA BRANCA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII A BRANCA;FPAB
FUNDO DE INVESTIMENTO IMOBILI¡RIO PEDRA NEGRA RENDA IMOBILI¡RIA - RESPONSABILIDADE LIMITADA;FII P NEGRA;FPNG
FII RBC II FUNDO DE FUNDOS - RESPONSABILIDADE LIMITADA;FII  FRBC;FRBC
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILI¡RIO -  RESPONSABILIDADE LIMITADA;FII OPPORTUN;FTCE
FIGTREE RENDA EDUCACIONAL FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII FTRE;FTRE
VIA PARQUE SHOPPING FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII V PARQUE;FVPQ
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII FYTO RECEBÕVEIS IMOBILI¡RIOS RESPONSABILIDADE LIMITADA;FII FYTO;FYTO
GUARDIAN MULTIESTRAT…GIA IMOBILI¡RIA I FII DE RESPONSABILIDADE LIMITADA;FII GUARD MU;GAME
GUARDIAN REAL ESTATE FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII GUARDIAN;GARE
GALAPAGOS DESENVOLVIMENTO LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII GCDL;GCDL
GALAPAGOS SPECIAL OPORTUNITIES FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII GALAP SP;GCOI
GALAPAGOS RECEBÕVEIS IMOBILI¡RIOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII GLPG CRI;GCRI
GALAPAGOS FEEDER DESENVOLVIMENTO LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITA;FII GFDL;GFDL
GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII GGRCOVEP;GGRC
GALAPAGOS CR…DITO ESTRUTURADO PRAZO DETERMINADO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESP LIMITADA;FII GLCR;GLCR
GENIAL LOGÕSTICA - FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII PLURAL L;GLOG
GALAPAGOS FEEDER LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII GLPF;GLPF
ICATU VANGUARDA GRU  LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII GRUL;GRUL
GENERAL SHOPPING E OUTLETS DO BRASIL FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII GENERAL;GSFI
GALAPAGOS SP SURF FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII GSRF;GSRF
FUNDO DE INVESTIMENTO IMOBILI¡RIO GREEN TOWERS RESPONSABILIDADE LIMITADA;FII G TOWERS;GTWR
GAZIT MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII GAZIT;GZIT
HEDGE AAA FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HEDGEAAA;HAAA
HABITAT RECEBÕVEIS PULVERIZADOS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII HABIT II;HABT
FUNDO DE INVESTIMENTO IMOBILI¡RIO HBC RENDA URBANA;FII HBC REN;HBCR
HECTARE RECEBÕVEIS HIGH GRADE FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII - RESP LIMITADA;FII HECT CRI;HCHG
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII HOSPITAL DA CRIAN«A RESPONSABILIDADE LIMITADA;FII CRIANCA;HCRI
HECTARE DESENVOLVIMENTO STUDENT HOUSING - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITAD;FII HECT DES;HCST
HCO CURITIBA I FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HCTB;HCTB
HECTARE CE FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII HECTARE;HCTR
HEDGE DESENVOLVIMENTO LOGÕSTICO FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HEDGE DV;HDEL
HEDGE PALADIN DESIGN OFFICES FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HEDGE OF;HDOF
HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HTOPFOF3;HFOF
HEDGE BRASIL LOGÕSTICO INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HGBL;HGBL
HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HEDGEBS;HGBS
